,bcc-csm1-1,CCSM4,CSIRO-Mk3L,FGOALS-gl,GISS-E2-R,HadCM3,IPSL-CM5A-LR,MIROC-ES2L,MPI-ESM-P,MRI-CGCM3,MRI-ESM2-0,CESM1-LME,CESM2,MPI-ESM1-2-LR,EC-Earth3-Veg-LR,MIROC-ESM,INM-CM4-8
0,286.6461159,284.9174517,287.19779037607583,,287.93512443587923,286.15292690649085,285.3276955,288.0848261922957,286.87731772908273,286.7088768,287.047336466222,286.5425546,284.75443018375336,286.26020290942716,286.8382035387615,287.7764307164539,286.5452237526102
1,286.6424892,284.9166777,287.2303199204283,,287.96539831074574,286.20593133180694,285.0419397,288.2032035573123,286.88481624614025,286.5587931,287.1462889707737,286.6463644,284.5311185944509,286.38306307819664,286.9748093273876,287.60006662798924,286.5219039327446
2,286.6896507,284.9819803,287.2362614469365,,287.941263397956,286.2041389351549,284.8958098,288.004652673514,286.669170391659,286.6855401,287.1129997337768,286.6384754,284.8564790905651,286.47521480188533,286.83738065275384,287.8712882888414,286.58101495028
3,286.5767503,284.8620905,287.16342066873557,,288.00844557655483,286.2558776290401,284.9395784,287.8550293506388,286.7124623860261,286.7038625,287.07950548573035,286.5668859,284.8886941373347,286.38140746089374,286.95109533867634,287.7162357242796,286.66179594343095
4,286.5757686288769,284.75742231083836,287.1894320144359,,287.58757999147076,286.25969834337263,285.11147304228473,287.8068215166858,286.8344440085745,286.6725192537005,287.36772629638665,286.66331941082706,284.50395746134836,286.4336146206795,286.9624439408812,287.6813462586449,286.59092986914015
5,286.6187305,284.6571949,287.25704444564894,,287.50701096024267,286.08688597301057,284.997089,287.9709188059986,286.5212053552118,286.6769996,287.0511594557016,286.233603,284.6477858928684,286.4569983457644,286.87410053832264,287.84345989945064,286.50757555008227
6,286.5700217,284.8324678,287.11156588297257,,287.50630575105663,286.29828841926104,284.780849,288.15662092665406,286.5023048530035,286.7718289,287.28181998333594,286.1758525,284.7473980024179,286.30284505696756,287.040160298819,287.82049979016676,286.5316216249472
7,286.7355055,284.678595,287.06075987818843,,287.7534737830791,286.3866142173492,284.9640299,288.1780731871195,286.61846830779615,286.7579352,287.42735808966177,286.2317763,284.61907175973283,286.2692672018304,287.0627720157931,287.6430447103504,286.4851303593591
8,286.6562001,284.7646099,287.04316236435193,,287.7436661067316,286.28949145580515,285.1045687,287.9647089104306,286.536697630008,286.7625616,287.23977575372834,286.2752428,284.6015577500808,286.51056538645776,286.91870164838514,287.6409295727223,286.58718561907153
9,286.6496586,284.8223488,287.1677970638895,,288.00931365857184,286.20170397559275,285.187674,288.0624287651208,286.54113026037237,286.8560513,287.134309728417,286.5741121,284.7535861272454,286.25906393543465,287.0117740374478,287.56992119441236,286.77520553591023
10,286.6288008,284.9590276,287.2470832687356,,287.9398700665073,286.2941837290401,285.0224678,288.3002100048141,286.6215815860261,286.8681987,287.076721178622,286.5514461,284.3708431240317,286.3218503598547,286.84609542838643,287.2412540242796,286.62806449325313
11,286.63782,284.8759787,287.2476442,,287.776692579754,286.2424167,284.9384603,288.25560051278757,286.5588487,286.7675744,287.2976137327933,286.3102265,284.40798644086743,286.39521022615224,287.0004384108385,287.3555895,286.5239865913546
12,286.6442195,285.0852813,287.0511965,,287.7131251939353,286.3362587,284.9692486,287.94140668207564,286.5165968,286.770914,287.1254379814777,286.2467321,284.63761624561744,286.3955556918894,286.88804425981357,287.6179232,286.430209803469
13,286.6749431,284.9601866,287.0944686,,287.8466209451721,286.4064206,285.0774697,287.9606448486529,286.6196379,286.8788315,287.2510963358588,286.4448445,284.61326633137776,286.3710202829257,286.79677281777504,287.6036564,286.5156016124765
14,286.793536,284.6741601,287.0750917,,287.84953108266683,286.4607861,285.3229221,288.1172036100468,286.67639,286.9417336,287.26542033854315,286.4736767,284.5547595473105,286.31050563312107,286.99845743587474,287.5480155,286.5563691662109
15,286.656122,284.7359822,287.0219093,,287.8491253346714,286.3661156,285.1103025,288.3072127213262,286.7616833,286.8765756,287.0835277084835,286.3904434,284.64586058994445,286.41162421612444,286.9925224231101,287.6412511,286.49259450341236
16,286.5436744,284.7215727,287.0503896,,287.851498968443,286.2698926,285.017684,288.12932683895656,286.6302206,286.7934902,287.20103106496396,286.3011908,284.7412641687918,286.4116051257407,287.1023558992181,287.7380568,286.5174750703535
17,286.6956973,284.9284013,287.1744333,,287.81104761479077,286.3704552,285.0995196,288.12961080306354,286.575012,286.8150347,287.31957201463456,286.3206769,284.5064045513223,286.37216726609114,286.9913573917022,287.5008463,286.5068769817715
18,286.6456688,284.9345989,287.1644563,,287.8252323972625,286.3381666,285.0554479,288.0754385435575,286.6555276,286.797695,287.2733288634249,286.2227403,284.5306528083047,286.28236898085174,286.99783616690644,287.5253954,286.4921133703563
19,286.5529277,284.7842604,287.1845477,,287.74849706268515,286.4974616,285.0200462,288.0665905332392,286.7092009,287.0600984,287.1832927928106,286.4807209,284.768999935692,286.354026869792,286.93123440750634,287.7417291,286.531254400063
20,286.78120123910395,284.7639785746267,287.1449853,,287.74304655346157,286.6783835,285.0781874959218,288.01396666381333,286.4485856,286.7770525066516,287.0949577503855,286.4936044211664,284.68968858089346,286.3890818226771,287.0261004799164,287.6697477,286.5801389526066
21,286.535019,284.5350972,287.2588982,,287.7924974914212,286.5618708,284.963515,288.187334418247,286.5362667,286.7530871,287.18349986902666,286.0727139,284.68503804452183,286.53670136555235,286.96939422312755,287.6755544,286.56706208482336
22,286.5886767,284.7600302,287.3663992,,287.8167255791831,286.3890551,284.5961479,288.19713012622134,286.6014442,286.7704847,287.3571765368833,286.1508665,284.71313597109366,286.3939675289619,286.9714700434251,287.7078371,286.45426197693104
23,286.6604773,284.8017315,287.1827297,,287.7469648972138,286.4610871,284.763149,288.1467092149752,286.584342,286.74566,287.19790951052136,286.2789788,284.5466222440495,286.4195621097635,286.89380464666465,287.5408857,286.456617464668
24,286.5919251,284.7615797,287.2502517218795,,287.6082740949297,286.39638165942546,284.900302,288.12118584248697,286.7872383068725,286.6177114,287.1384908621658,286.3310628,284.6468386548816,286.5261102661715,286.98212060526953,287.72494671100634,286.4938863464747
25,286.6383788,284.8289697,287.1968665760758,,287.7232507655801,286.3219706064909,284.8518945,288.20996718960095,286.9066035290827,286.7130864,287.234922062974,286.3335823,284.79146525088913,286.30655177228675,287.13712176676694,287.8137872164539,286.4405118944147
26,286.6166156,284.7783731,287.0831909415633,,287.7938772504854,286.31994135511553,284.9796053,288.2838152444804,286.83528515740505,286.7730363,287.2094661001458,286.214546,284.94620392328846,286.1873512867894,287.064879996836,287.87433542142935,286.4411243412062
